Time,LLC,Speed,Ranking,Mileage,Address
2016-07-01 14:54:34,"-26.336416,28.081396",88.896,11,35832.0766,
2016-07-01 14:54:45,"-26.337972,28.082680",61.116,11,36047.2693,
2016-07-01 14:54:56,"-26.338788,28.083300",24.076,11,36157.0423,
2016-07-01 14:55:07,"-26.339014,28.083578",22.224,11,36194.4452,
2016-07-01 14:55:13,"-26.338654,28.084328",29.632,11,36279.2288,
2016-07-03 15:59:13,"-26.329352,28.086238",0,6,1051.7026,
2016-07-03 15:59:24,"-26.329350,28.086236",0,7,1051.7026,
2016-07-03 15:59:35,"-26.329354,28.086232",0,7,1052.303,
2016-07-03 17:25:07,"-26.329386,28.086360",0,10,1065.5464,
2016-07-03 17:25:18,"-26.329378,28.086360",0,10,1066.437,
2016-07-03 17:25:29,"-26.329376,28.086358",0,10,1066.437,
2016-07-03 17:25:40,"-26.329404,28.086342",0,10,1069.9355,
2016-07-03 17:25:51,"-26.329436,28.086326",0,10,1073.8348,
2016-07-04 07:09:49,"-26.329410,28.086330",0,10,2.9184,
2016-07-04 07:10:00,"-26.329416,28.086332",0,10,3.6095,
2016-07-04 07:10:11,"-26.329396,28.086328",0,10,5.8701,
2016-07-04 07:23:09,"-26.317022,28.063040",55.56,7,2704.0501,
2016-07-04 07:23:28,"-26.316102,28.062394",0,8,2824.9254,
2016-07-04 07:23:35,"-26.316098,28.062400",0,8,2825.6729,
2016-07-04 07:23:45,"-26.316098,28.062400",0,8,2825.6729,
2016-07-04 07:23:55,"-26.316100,28.062402",0,8,2825.6729,
2016-07-04 07:24:06,"-26.316098,28.062402",0,8,2825.6729,
2016-07-04 07:24:17,"-26.315840,28.062228",29.632,8,2859.1959,
2016-07-04 07:24:28,"-26.314854,28.061544",57.412,8,2988.302,
2016-07-04 07:24:39,"-26.313410,28.060544",74.08,8,3177.2884,
2016-07-04 07:24:50,"-26.311810,28.059428",77.784,8,3387.1123,
2016-07-04 07:24:55,"-26.310062,28.058074",87.044,9,3623.7417,
2016-07-04 07:25:06,"-26.308328,28.056604",87.044,9,3865.911,
2016-07-04 07:25:17,"-26.306696,28.055082",79.636,9,4102.443,
2016-07-04 07:25:28,"-26.305312,28.053762",70.376,9,4304.9171,
2016-07-04 07:25:39,"-26.303888,28.052408",74.08,10,4512.9755,
2016-07-04 07:25:50,"-26.302354,28.050940",77.784,10,4737.7165,
2016-07-04 07:25:55,"-26.300748,28.049386",90.748,10,4974.1206,
2016-07-04 07:26:05,"-26.298954,28.047694",88.896,9,5235.3526,
2016-07-04 07:26:16,"-26.297456,28.046262",57.412,9,5454.7228,
2016-07-04 07:26:27,"-26.296286,28.045144",66.672,9,5626.0316,
2016-07-04 07:26:38,"-26.294756,28.043716",88.896,9,5847.8617,
2016-07-04 07:26:49,"-26.292680,28.042304",100.008,9,6118.2344,
2016-07-04 07:26:55,"-26.290488,28.040958",101.86,8,6396.469,
2016-07-04 07:27:06,"-26.288658,28.038970",98.156,8,6680.5226,
2016-07-04 07:27:17,"-26.287772,28.037322",33.336,9,6872.0936,
2016-07-04 07:27:28,"-26.287528,28.036788",31.484,9,6931.8458,
2016-07-04 07:27:39,"-26.286920,28.035540",62.968,9,7073.4474,
2016-07-04 07:27:50,"-26.285758,28.034126",74.08,10,7264.6739,
2016-07-04 07:28:01,"-26.283898,28.033110",85.192,10,7494.9689,
2016-07-04 07:28:12,"-26.281806,28.033014",81.488,9,7727.7854,
2016-07-04 07:28:23,"-26.279984,28.033692",68.524,9,7941.362,
2016-07-04 07:28:34,"-26.278736,28.034276",27.78,9,8091.8536,
2016-07-04 07:28:35,"-26.278480,28.034396",0,9,8122.7316,
2016-07-04 07:28:46,"-26.278314,28.034466",22.224,9,8142.4651,
2016-07-04 07:28:55,"-26.277348,28.034724",51.856,10,8252.9165,
2016-07-04 07:29:05,"-26.275736,28.034722",68.524,10,8432.1627,
2016-07-04 07:29:16,"-26.274086,28.033878",77.784,10,8634.0126,
2016-07-04 07:29:27,"-26.272354,28.032810",79.636,10,8854.0816,
2016-07-04 07:29:38,"-26.270388,28.032002",87.044,10,9087.0638,
2016-07-04 07:29:49,"-26.268338,28.031478",75.932,10,9320.9246,
2016-07-04 07:29:55,"-26.266414,28.031082",79.636,10,9538.477,
2016-07-04 07:30:06,"-26.264272,28.030596",92.6,10,9781.5365,
2016-07-04 07:30:17,"-26.262032,28.030014",88.896,10,10037.2848,
2016-07-04 07:30:28,"-26.259736,28.029536",96.304,10,10296.9997,
2016-07-04 07:30:35,"-26.257224,28.028964",101.86,10,10582.0858,
2016-07-04 07:30:46,"-26.254714,28.028390",100.008,10,10866.9943,
2016-07-04 07:30:55,"-26.252374,28.028190",81.488,10,11127.9536,
2016-07-04 07:31:06,"-26.250402,28.028014",79.636,10,11347.9312,
2016-07-04 07:31:16,"-26.248404,28.027918",83.34,10,11570.3047,
2016-07-04 07:31:27,"-26.246580,28.028212",51.856,10,11775.2325,
2016-07-04 07:31:38,"-26.245616,28.028282",27.78,10,11882.6514,
2016-07-04 07:31:49,"-26.245318,28.028282",0,10,11915.7873,
2016-07-04 07:31:54,"-26.245318,28.028284",0,10,11915.7873,
2016-07-04 07:32:05,"-26.245302,28.028284",0,10,11917.5684,
2016-07-04 07:32:16,"-26.245044,28.028272",14.816,10,11946.2817,
2016-07-04 07:32:27,"-26.244670,28.028246",16.668,11,11987.9493,
2016-07-04 07:32:38,"-26.244358,28.028876",33.336,11,12059.7224,
2016-07-04 07:32:49,"-26.244344,28.029662",24.076,11,12138.1276,
2016-07-04 07:32:54,"-26.244456,28.030228",20.372,11,12195.9336,
2016-07-04 07:33:05,"-26.244656,28.031308",50.004,11,12305.9164,
2016-07-04 07:33:16,"-26.244888,28.032560",38.892,11,12433.418,
2016-07-04 07:33:27,"-26.245006,28.033250",7.408,11,12503.4728,
2016-07-04 07:33:38,"-26.244578,28.033476",40.744,11,12556.1317,
2016-07-04 07:33:49,"-26.243362,28.033752",51.856,11,12694.1181,
2016-07-04 07:33:54,"-26.242140,28.034036",44.448,11,12832.919,
2016-07-04 07:34:05,"-26.241292,28.034232",25.928,11,12929.2172,
2016-07-04 07:34:16,"-26.240516,28.034424",20.372,11,13017.6037,
2016-07-04 07:34:27,"-26.239740,28.034616",27.78,11,13105.9903,
2016-07-04 07:34:38,"-26.239530,28.034666",0,11,13129.868,
2016-07-04 07:34:49,"-26.239530,28.034684",0,11,13131.6617,
2016-07-04 07:34:54,"-26.239528,28.034684",0,11,13131.6617,
2016-07-04 07:35:05,"-26.239522,28.034678",0,11,13132.5573,
2016-07-04 07:35:16,"-26.239376,28.034996",31.484,11,13168.187,
2016-07-04 07:35:27,"-26.239638,28.036376",61.116,11,13308.873,
2016-07-04 07:35:38,"-26.239964,28.038146",51.856,11,13489.0898,
2016-07-04 07:35:49,"-26.240058,28.038652",0,11,13540.6273,
2016-07-04 07:35:54,"-26.240074,28.038712",14.816,11,13546.8707,
2016-07-04 07:36:05,"-26.240036,28.039122",22.224,11,13587.9803,
2016-07-04 07:36:16,"-26.238852,28.039178",53.708,11,13719.7534,
2016-07-04 07:36:24,"-26.237484,28.039692",64.82,11,13880.2743,
2016-07-04 07:36:35,"-26.236004,28.040538",62.968,11,14065.2138,
2016-07-04 07:36:46,"-26.234544,28.041366",62.968,11,14247.3566,
2016-07-04 07:36:54,"-26.233210,28.042124",55.56,11,14413.8466,
2016-07-04 07:37:05,"-26.232232,28.042680",29.632,11,14535.9192,
2016-07-04 07:37:16,"-26.231710,28.042998",24.076,11,14602.064,
2016-07-04 07:37:27,"-26.231368,28.044158",57.412,11,14723.8558,
2016-07-04 07:37:38,"-26.230914,28.045658",40.744,11,14881.7588,
2016-07-04 07:37:49,"-26.230828,28.045944",0,11,14911.8456,
2016-07-04 07:37:54,"-26.230820,28.045952",0,11,14913.0389,
2016-07-04 07:38:05,"-26.230816,28.045954",0,11,14913.523,
2016-07-04 07:38:16,"-26.230860,28.046126",22.224,12,14931.363,
2016-07-04 07:38:27,"-26.231718,28.046526",25.928,11,15034.7746,
2016-07-04 07:38:38,"-26.231822,28.047240",16.668,11,15106.924,
2016-07-04 07:38:49,"-26.231882,28.047298",0,11,15115.7545,
2016-07-04 07:38:54,"-26.231878,28.047306",0,11,15116.67,
2016-07-04 07:39:05,"-26.231878,28.047326",0,11,15118.6659,
2016-07-04 07:39:16,"-26.232054,28.047286",9.26,12,15138.6387,
